zipcode,zipcode,lat,long,price_predictions
98001,98001,47.309019889502736,-122.27064640883981,445163.27
98002,98002,47.30877989949747,-122.21335678391958,392328.66
98003,98003,47.3157410714286,-122.31005357142861,450807.35
98004,98004,47.61618328075706,-122.20518927444785,640920.42
98005,98005,47.61153154761904,-122.16726785714283,591924.86
98006,98006,47.558021686747,-122.14683935742978,636856.22
98007,98007,47.61052198581556,-122.14207801418442,499996.5
98008,98008,47.61331166077741,-122.11583392226142,490513.36
98010,98010,47.333210000000015,-121.99947,491030.69
98011,98011,47.75519230769231,-122.20117435897437,513737.37
98014,98014,47.671487903225795,-121.84853225806457,487160.02
98019,98019,47.737095789473706,-121.95483157894733,497835.96
98022,98022,47.21145042735039,-121.99516666666656,431809.47
98023,98023,47.3086224448898,-122.36428256513025,462612.88
98024,98024,47.558418518518515,-121.9052592592593,529768.97
98027,98027,47.52168713592237,-122.04284708737859,564443.12
98028,98028,47.75513780918729,-122.24602826855123,488352.83
98029,98029,47.55955700934583,-122.00565732087216,519511.7
98030,98030,47.36902656249999,-122.19041796875001,457194.01
98031,98031,47.403785766423375,-122.18922627737228,451162.81
98032,98032,47.37355600000002,-122.27884800000005,413617.33
98033,98033,47.68008819444443,-122.1876597222223,538509.65
98034,98034,47.720687889908326,-122.20737431192659,460484.02
98038,98038,47.370604067796705,-122.03178983050829,493191.16
98039,98039,47.62583999999998,-122.23353999999996,813777.35
98040,98040,47.559846099290766,-122.22559219858152,679240.03
98042,98042,47.36566532846715,-122.11545255474441,460839.48
98045,98045,47.4733592760181,-121.75903619909514,476934.35
98052,98052,47.68053780487807,-122.11927700348434,535219.58
98053,98053,47.679900740740734,-122.0228172839506,584732.46
98055,98055,47.45866604477614,-122.20276119402976,422713.4
98056,98056,47.50965714285714,-122.18277832512318,467613.15
98058,98058,47.44608483516482,-122.14614285714286,474450.09
98059,98059,47.49273611111112,-122.13904700854694,542960.91
98065,98065,47.53172999999995,-121.861929032258,575280.99
98070,98070,47.41742288135591,-122.46382203389823,441099.07
98072,98072,47.751016483516494,-122.13197435897436,536542.64
98074,98074,47.624084353741495,-122.04478458049887,590021.13
98075,98075,47.58749080779937,-122.02252367688025,661628.49
98077,98077,47.7459217171717,-122.06120202020202,630856.68
98092,98092,47.30183646723642,-122.16799715099718,502705.97
98102,98102,47.634606666666684,-122.32224761904749,495513.56
98103,98103,47.67602392026585,-122.34412956810648,396779.92
98105,98105,47.665066812227046,-122.29434061135376,493996.96
98106,98106,47.536196417910425,-122.35680895522395,365233.98
98107,98107,47.669789849624046,-122.37557142857145,383039.05
98108,98108,47.54976935483872,-122.3068709677418,407230.73
98109,98109,47.63560183486239,-122.35009174311921,475192.55
98112,98112,47.629618587360596,-122.29786617100359,561346.59
98115,98115,47.68548421955406,-122.30178902229848,432390.07
98116,98116,47.573905454545454,-122.39362121212116,436098.81
98117,98117,47.68688915009041,-122.37858951175402,404714.79
98118,98118,47.54380413385827,-122.2755669291338,403747.13
98119,98119,47.64003423913043,-122.3669184782608,465709.42
98122,98122,47.610160344827584,-122.29977241379304,422938.54
98125,98125,47.71704268292678,-122.3012073170732,415165.6
98126,98126,47.544584180790956,-122.37527401129945,376071.85
98133,98133,47.735611943319824,-122.34382186234824,389619.19
98136,98136,47.53880684410643,-122.38820532319372,411488.46
98144,98144,47.58629329446064,-122.29841107871736,447292.14
98146,98146,47.502055208333346,-122.35830555555552,390973.92
98148,98148,47.43743684210527,-122.32931578947371,389038.59
98155,98155,47.75486322869954,-122.30354035874457,423100.47
98166,98166,47.45521181102362,-122.35030314960636,477483.35
98168,98168,47.48969999999997,-122.30787732342003,361556.85
98177,98177,47.74238078431373,-122.36928235294121,527059.5
98178,98178,47.49911755725191,-122.24696946564875,411875.53
98188,98188,47.44730955882352,-122.28099264705885,426197.0
98198,98198,47.39078785714286,-122.31574285714284,414972.06
98199,98199,47.64809810725548,-122.39846056782322,495900.63
