,date,price,sqft_lot,zipcode,quarter,lat,long
0,2014-05-02,437500.0,35100.0,98027,2,47.5112,-122.257
1,2014-05-02,675000.0,67518.0,98029,2,47.721,-122.319
2,2014-05-02,555000.0,6500.0,98065,2,47.7379,-122.233
3,2014-05-02,440000.0,8119.0,98006,2,47.5208,-122.393
4,2014-05-02,295000.0,1368.0,98106,2,47.6168,-122.045
5,2014-05-02,470000.0,9655.0,98011,2,47.6561,-122.005
6,2014-05-02,550000.0,10500.0,98052,2,47.3097,-122.327
7,2014-05-02,313000.0,7912.0,98133,2,47.4095,-122.315
8,2014-05-02,342000.0,11947.0,98042,2,47.5123,-122.337
9,2014-05-02,626000.0,1572.0,98102,2,47.3684,-122.031
10,2014-05-02,285000.0,9397.0,98001,2,47.6007,-122.145
11,2014-05-02,612500.0,12261.0,98011,2,47.69,-122.292
12,2014-05-02,400000.0,42884.0,98092,2,47.7558,-122.229
13,2014-05-02,407500.0,10460.0,98059,2,47.6127,-122.045
14,2014-05-02,385000.0,1327.0,98199,2,47.67,-122.394
15,2014-05-02,790000.0,4750.0,98117,2,47.5714,-122.375
16,2014-05-02,495000.0,6380.0,98125,2,47.7277,-121.962
17,2014-05-02,315000.0,9180.0,98077,2,47.6648,-122.343
18,2014-05-02,2384000.0,9050.0,98119,2,47.3089,-122.21
19,2014-05-02,625000.0,54014.0,98059,2,47.3343,-122.306
20,2014-05-02,382500.0,8700.0,98034,2,47.7025,-122.341
21,2014-05-02,235000.0,9400.0,98106,2,47.5316,-122.233
22,2014-05-02,490000.0,6380.0,98115,2,47.3266,-122.169
23,2014-05-02,750000.0,6550.0,98116,2,47.3533,-122.166
24,2014-05-02,499950.0,3345.0,98072,2,47.3739,-122.172
25,2014-05-02,640000.0,6200.0,98115,2,47.3048,-122.218
26,2014-05-02,463000.0,7320.0,98155,2,47.6386,-122.36
27,2014-05-02,650000.0,5000.0,98115,2,47.6221,-122.314
28,2014-05-02,625000.0,,98155,2,47.695,-122.304
29,2014-05-02,335000.0,16215.0,98024,2,47.7073,-122.11
30,2014-05-02,300000.0,5050.0,98042,2,47.5391,-122.07
31,2014-05-02,445700.0,1180.0,98107,2,47.7274,-122.357
32,2014-05-02,459990.0,5539.0,98045,2,47.6823,-122.368
33,2014-05-02,435000.0,8800.0,98006,2,47.6889,-122.375
34,2014-05-02,242500.0,,98042,2,47.4276,-122.157
35,2014-05-02,419000.0,6700.0,98007,2,47.6827,-122.31
36,2014-05-02,365000.0,6435.0,98106,2,47.6621,-122.132
37,2014-05-02,588500.0,14892.0,98074,2,47.6702,-122.362
38,2014-05-02,403000.0,13100.0,98166,2,47.3341,-122.282
39,2014-05-02,420000.0,8030.0,98008,2,47.5301,-122.18
40,2014-05-02,439950.0,2875.0,98116,2,47.6145,-122.027
41,2014-05-02,750000.0,10578.0,98115,2,47.445,-122.347
42,2014-05-02,308500.0,6174.0,98155,2,47.6848,-122.016
43,2014-05-02,630000.0,37277.0,98027,2,47.6413,-122.364
44,2014-05-02,452500.0,88426.0,98045,2,47.4485,-122.175
45,2014-05-02,491500.0,125452.0,98092,2,47.7443,-121.977
46,2014-05-02,257950.0,5858.0,98198,2,47.3066,-122.371
47,2014-05-02,285000.0,10834.0,98003,2,47.6194,-122.151
48,2014-05-02,284000.0,23103.0,98014,2,47.6796,-122.301
49,2014-05-02,1200000.0,9480.0,98105,2,47.4041,-122.451
50,2014-05-02,440000.0,4850.0,98107,2,47.4258,-122.322
51,2014-05-02,275000.0,10277.0,98045,2,47.4934,-122.189
52,2014-05-02,615000.0,7291.0,98136,2,47.6808,-122.384
53,2014-05-02,550000.0,35200.0,98075,2,47.6989,-122.369
54,2014-05-02,805000.0,4500.0,98115,2,47.6571,-122.281
55,2014-05-02,287200.0,19966.0,98038,2,47.6597,-122.29
56,2014-05-02,838000.0,42998.0,98052,2,47.3663,-122.114
57,2014-05-02,785000.0,11995.0,98065,2,47.3663,-122.122
58,2014-05-02,436110.0,1235.0,98103,2,47.588,-122.116
59,2014-05-02,260000.0,8625.0,98055,2,47.5059,-122.149
60,2014-05-02,482000.0,35868.0,98038,2,47.4336,-122.339
61,2014-05-02,367500.0,7231.0,98092,2,47.4366,-122.335
62,2014-05-02,698000.0,11250.0,98033,2,47.4428,-122.344
63,2014-05-02,1400000.0,4000.0,98105,2,47.6765,-122.32
64,2014-05-02,604000.0,33151.0,98023,2,47.6113,-122.297
65,2014-05-02,335000.0,2560.0,98052,2,47.5747,-122.304
66,2014-05-02,430000.0,10000.0,98006,2,47.5815,-122.192
67,2014-05-03,553000.0,5000.0,98117,2,47.3378,-122.257
68,2014-05-03,310000.0,9945.0,98065,2,47.3621,-122.11
69,2014-05-03,625000.0,6605.0,98059,2,47.6303,-122.215
70,2014-05-03,379880.0,14054.0,98027,2,47.6525,-122.16
71,2014-05-04,365000.0,7350.0,98058,2,47.7362,-122.179
72,2014-05-04,331950.0,9933.0,98092,2,47.7168,-122.287
73,2014-05-04,628000.0,6010.0,98122,2,47.3608,-122.036
74,2014-05-04,775000.0,7392.0,98053,2,47.3511,-122.073
75,2014-05-04,783500.0,7130.0,98122,2,47.5822,-121.987
76,2014-05-05,435000.0,9240.0,98133,2,47.6034,-122.125
77,2014-05-05,210000.0,10200.0,98198,2,47.5636,-122.394
78,2014-05-05,400000.0,9519.0,98155,2,47.7073,-122.34
79,2014-05-05,531000.0,1175.0,98103,2,47.342,-122.025
80,2014-05-05,487585.0,9211.0,98034,2,47.3512,-122.008
81,2014-05-05,1395000.0,8510.0,98105,2,47.349,-122.031
82,2014-05-05,770000.0,5700.0,98112,2,47.5474,-122.291
83,2014-05-05,419190.0,1426.0,98029,2,47.4811,-122.149
84,2014-05-05,245000.0,9306.0,98001,2,47.7264,-122.31
85,2014-05-05,740000.0,3600.0,98119,2,47.6337,-122.365
86,2014-05-05,736500.0,21904.0,98059,2,47.2909,-122.189
87,2014-05-05,705380.0,4343.0,98029,2,47.5228,-122.199
88,2014-05-05,787000.0,7500.0,98004,2,47.518,-122.194
89,2014-05-05,418000.0,6030.0,98103,2,47.5394,-122.387
90,2014-05-05,560000.0,8744.0,98074,2,47.2897,-122.372
91,2014-05-05,379950.0,9389.0,98133,2,47.6506,-122.391
92,2014-05-05,2280000.0,307752.0,98053,2,47.322,-122.351
93,2014-05-05,657100.0,4240.0,98103,2,47.687,-122.386
94,2014-05-05,618500.0,5000.0,98115,2,47.687,-122.386
95,2014-05-05,580000.0,7000.0,98118,2,47.5873,-122.249
96,2014-05-05,184000.0,10125.0,98001,2,47.3576,-122.277
97,2014-05-05,449250.0,3844.0,98133,2,47.3036,-122.378
98,2014-05-05,249950.0,15040.0,98059,2,47.4109,-121.958
99,2014-05-05,525888.0,71874.0,98027,2,47.4838,-121.714
100,2014-05-05,650000.0,9000.0,98177,2,47.6415,-122.315
101,2014-05-05,600000.0,6360.0,98115,2,47.6775,-122.372
102,2014-05-05,800000.0,7857.0,98075,2,47.7731,-122.08
103,2014-05-05,410000.0,36704.0,98027,2,47.5814,-122.196
104,2014-05-05,900000.0,77972.0,98033,2,47.4375,-122.184
